Name Of Project,Address,Primary Funding Source/ Assistance Type Description,Primary Expiration Date,Total Units,Restricted/ Assisted Units,Target Group (Senior),Type of Conversion Risk
"Collett, Wermes (5229 Harmony Apts)",5229 N. Harmony Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,8,8,No,Restriction Expiration
"11047-57 1/2
Hartsook Street",11047 W. Hartsook Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,10,10,No,Restriction Expiration
"5252 Cartwright Ave Apts (Simonelli, Frank)",5252 N. Cartwright Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,5,5,Yes,Restriction Expiration
Pico Union Plaza,1111 W. 17Th St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41698,38,38,No,Rental Subsidy Termination
623-623 1/2 N Mott Street,623 N. Mott Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Neighborhood Preservation Program (NPP),41762,2,2,No,Restriction Expiration
2117-2129 Vallejo Street,2117 Vallejo Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Neighborhood Preservation Program (NPP),41721,11,11,No,Restriction Expiration
Sunset Apts 5/5,259 S. Reno St.,HUD Section 221 (D)(3) Assisted Mortgage Program,41643,20,20,No,Mortgage Maturity/ Prepayment
Sunset Apts 4/5,311 S Columbia St.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41643,15,15,No,Mortgage Maturity/ Prepayment
Sunset Apts 3/5,1023 N Coronado St.,HUD Section 221 (D)(3) Assisted Mortgage Program,41643,18,18,No,Mortgage Maturity/ Prepayment
Sunset Apts 2/5,4363 Lockwood Ave.,HUD Section 221 (D)(3) Assisted Mortgage Program,41643,24,24,No,Mortgage Maturity/ Prepayment
Sunset Apts 1/5,1711 Park Ave.,HUD Section 221 (D)(3) Assisted Mortgage Program,41643,9,9,No,Mortgage Maturity/ Prepayment
Franklin Square,1451 E. 101 St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41750,39,39,No,Restriction Expiration
2306 Trinity Street,2306 Trinity Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),41751,5,5,No,Restriction Expiration
Strathern Court,11100 W. Strathern St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41759,93,93,Yes,Rental Subsidy Termination
Hollywood West Apts/2,5712 La Mirada Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,16,16,No,Mortgage Maturity/ Prepayment
Premier Apts 1/10,368 E. Imperial Highway,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,30,30,No,Mortgage Maturity/ Prepayment
Hollywood West Apts/4,5822 Willoughby Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,16,16,No,Mortgage Maturity/ Prepayment
Mid-Wilshire Apts/5,1100 S. Kingsley Dr.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,23,23,No,Mortgage Maturity/ Prepayment
Mid-Wilshire Apts/1,2826 S. La Salle Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,16,16,No,Mortgage Maturity/ Prepayment
Hollywood West Apts/1,5715 Camerford Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,16,16,No,Mortgage Maturity/ Prepayment
Mid-Wilshire Apts/4,362 Loma Dr.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,16,16,No,Mortgage Maturity/ Prepayment
Mid-Wilshire Apts/3,1128 W. 28Th St.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,12,12,No,Mortgage Maturity/ Prepayment
Premier Apts 7/10,581 W. 92Nd St,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,10,10,No,Mortgage Maturity/ Prepayment
Premier Apts 8/10,961 W. 43Rd St,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,10,10,No,Mortgage Maturity/ Prepayment
Hollywood Parkview 1/2,1244 S. Lake St.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,16,16,No,Mortgage Maturity/ Prepayment
Premier Apts 9/10,833 E. Imperial Highway,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,24,24,No,Mortgage Maturity/ Prepayment
Mid-Wilshire Apts/2,1134 S. West Blvd.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,8,8,No,Mortgage Maturity/ Prepayment
Hollywood West Apts/3,5819 Gregory Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,20,20,No,Mortgage Maturity/ Prepayment
Hollywood West Apts/5,5603 Lexington Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,11,11,No,Mortgage Maturity/ Prepayment
Hollywood Parkview 2/2,1001 W. 23Rd St.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,16,16,No,Mortgage Maturity/ Prepayment
Turner Apartments,7000 S. Hoover St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41775,32,32,No,Rental Subsidy Termination
Columbia Apts/5,1522 W. 11Th Pl.,HUD Project-Based Section 8 Rental Assistance (PBRA),41790,16,16,No,Rental Subsidy Termination
Finley Square,407 E. 120Th,HUD Project-Based Section 8 Rental Assistance (PBRA),41790,18,18,No,Rental Subsidy Termination
Columbia Apts/6,1147 S. Bronson Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41790,6,6,No,Rental Subsidy Termination
Columbia Apts/4,1137 S. Bronson Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41790,27,27,No,Rental Subsidy Termination
Columbia Apts/3,1034 S. Catalina St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41790,24,24,No,Rental Subsidy Termination
Martel Park,921 N. Martel Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41790,72,72,Yes,Rental Subsidy Termination
Columbia Apts/2,415 E. Adams Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41790,24,24,No,Rental Subsidy Termination
Columbia Apts/1,1043 S. Kingsley Dr.,HUD Project-Based Section 8 Rental Assistance (PBRA),41790,30,30,No,Rental Subsidy Termination
Bakman Towers (5143 Bakman Ave Apts),5133 Bakman Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41815,69,69,No,Restriction Expiration
Vista Tower,3000 Leeward Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41816,230,230,No,Mortgage Maturity/ Prepayment
East L A North 1/5,453 E. Avenue 28,HUD Project-Based Section 8 Rental Assistance (PBRA),41820,8,8,No,Rental Subsidy Termination
East L A North 4/5,2715 N. Lincoln Park Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41820,5,5,No,Rental Subsidy Termination
East L A North 2/5,2317 N. Johnston St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41820,14,14,No,Rental Subsidy Termination
Good Shepherd Manor,4411 S. 11Th Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41820,143,143,Yes,Rental Subsidy Termination
East L A North 5/5,3333 N. Mission Rd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41820,30,30,No,Rental Subsidy Termination
East L A North 3/5,2249 Lincoln Park Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41820,14,14,No,Rental Subsidy Termination
Hollywood Plaza Apts,1637 N. Vine St.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41646,153,153,Yes,Mortgage Maturity/ Prepayment
Leland Courts-Melrose,5234 W. Melrose Ave,HUD Project-Based Section 8 Rental Assistance (PBRA),41846,28,28,Yes,Rental Subsidy Termination
Leland Courts,5901 W. Gregory Ave,HUD Project-Based Section 8 Rental Assistance (PBRA),41846,16,16,Yes,Rental Subsidy Termination
Leland Courts-Gordon,1127 N Gordon St,HUD Project-Based Section 8 Rental Assistance (PBRA),41846,8,8,Yes,Rental Subsidy Termination
Leland Courts-Gordon,1121 N. Gordon St,HUD Project-Based Section 8 Rental Assistance (PBRA),41846,18,18,Yes,Rental Subsidy Termination
Redwood Village,13100 W. Maxella Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41850,50,49,No,Rental Subsidy Termination
Angeles I - Preservation I Project,2628 S. West Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41851,94,94,No,Rental Subsidy Termination
Winston Normandie Apartments,2634 S. Dalton Avenue,California Housing Finance Agency Multifamily Housing Programs (CalHFA),41678,5,5,No,Restriction Expiration
Hollywoodland Ii (Iii),5155 W. Marathon St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41648,32,32,Yes,Rental Subsidy Termination
Hollywoodland I (Ii),1438 N. Gordon St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41707,32,32,No,Rental Subsidy Termination
Hollywoodland Iii,5169 W. Marathon St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41952,19,19,Yes,Rental Subsidy Termination
Monterey Terrace,3800 Monterey Rd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41902,48,40,No,Rental Subsidy Termination
Liberty Village (Valley Village),22439 W. Marlin Pl.,HUD Project-Based Section 8 Rental Assistance (PBRA),41906,12,12,No,Rental Subsidy Termination
Kittridge Gardens I,6540 N. Wilbur Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41912,128,128,No,Rental Subsidy Termination
Cedros Rayen Apts.,9009 N. Cedros Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41912,70,70,Yes,Rental Subsidy Termination
Villa St. Andrews,1840 S. St. Andrews Place,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,40192,14,14,No,Mortgage Maturity/ Prepayment
Las Palmas Gardens,1778 N. Las Palmas Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41935,74,74,Yes,Rental Subsidy Termination
1020 S. Normandie,1020 S. Normandie Avenue,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41936,10,10,No,Mortgage Maturity/ Prepayment
Alexandria Cooperative (Part 1),620 N. Normandie Ave,California Housing and Community Development Multifamily Housing Programs (HCD),41943,25,25,No,Restriction Expiration
Alexandria Cooperative (Part 3),624 Alexandria,California Housing and Community Development Multifamily Housing Programs (HCD),41943,1,1,No,Restriction Expiration
Alexandria Cooperative (Part 2),631 N Alexandria Ave,California Housing and Community Development Multifamily Housing Programs (HCD),41943,3,3,No,Restriction Expiration
Hollywood Knickerbocker,1714 N. Ivar Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41973,282,282,No,Rental Subsidy Termination
Los Angeles Gardens/2,2624 S. Harvard Blvd.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,40922,11,11,No,Mortgage Maturity/ Prepayment
Los Angeles Gardens/1,2825 S. West Blvd.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,40922,16,16,No,Mortgage Maturity/ Prepayment
Los Angeles Gardens/5,1123 W. 38Th St.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,40922,16,16,No,Mortgage Maturity/ Prepayment
Los Angeles Gardens/4,1212 S. Bonnie Brae St.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,40922,30,30,No,Mortgage Maturity/ Prepayment
Los Angeles Gardens/3,2225 W. 11Th St.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,40922,18,18,No,Mortgage Maturity/ Prepayment
Los Angeles Gardens/6,3774 S. Budlong Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,40922,24,24,No,Mortgage Maturity/ Prepayment
Hollywoodland Iv,977 N. Wilton Pl.,HUD Project-Based Section 8 Rental Assistance (PBRA),40982,16,16,Yes,Rental Subsidy Termination
Hollywoodland Gower,1206 N. Gower St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41994,16,16,Yes,Rental Subsidy Termination
Freeway Redevelopment/2,1213 S. Serrano Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42004,12,12,No,Rental Subsidy Termination
Freeway Redevelopment/3,2831 West Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),42004,20,20,No,Rental Subsidy Termination
Freeway Redevelopment/1,2842 West Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),42004,12,12,No,Rental Subsidy Termination
Freeway Redevelopment/7,1401 W. 20Th St.,HUD Project-Based Section 8 Rental Assistance (PBRA),42004,17,17,No,Rental Subsidy Termination
Freeway Redevelopment/5,606 W. 47Th St.,HUD Project-Based Section 8 Rental Assistance (PBRA),42004,12,12,No,Rental Subsidy Termination
Freeway Redevelopment/4,1451 W. 20Th St.,HUD Project-Based Section 8 Rental Assistance (PBRA),42004,19,19,No,Rental Subsidy Termination
Freeway Redevelopment/8,1458 W. 20Th St.,HUD Project-Based Section 8 Rental Assistance (PBRA),42004,16,16,No,Rental Subsidy Termination
Freeway Redevelopment/6,2630 S. Bronson Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42004,12,12,No,Rental Subsidy Termination
L. A. Men’’S Place,627 San Julian St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42005,12,12,No,Restriction Expiration
Keele Project,2458 S. Normandie,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42005,4,4,No,Restriction Expiration
Adams Normandie Scatt. Sites -2412 S. Budlong Ave,2412 S. Budlong Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42005,3,3,No,Restriction Expiration
North Hollywood Park Apts,11251 Morrison Avenue,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42005,99,99,No,Restriction Expiration
2314 Crenshaw Blvd. Apts,2314 S. Crenshaw Blvd.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42036,4,4,No,Restriction Expiration
"Wong, Leland & Lillian",961 Chung King Road,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42027,10,10,No,Restriction Expiration
"Dong, Sammy W. & Wai N. (740 N. Hill Place Apts)",740 N. Hill Place,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42027,6,6,No,Restriction Expiration
L.a. Chinatown Board - 932 Mei Ling Way Apts,932 N. Mei Ling Way,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42027,27,27,No,Restriction Expiration
"Yup, Robert & Glora",709 N. Bunker Hill Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42027,6,2,No,Restriction Expiration
Chinese Senior Citizens Inc.,510 N. Bunker Hill,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42027,16,16,No,Restriction Expiration
Ggs Dev. Partners,5261 N. Satsuma Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42035,7,7,No,Restriction Expiration
Haven #502,825 W. Adams Blvd.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,42006,105,105,No,Mortgage Maturity/ Prepayment
Castle Argyle Apts,1919 N. Argyle Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,42006,97,97,Yes,Mortgage Maturity/ Prepayment
Christ Unity Manor,615 S. Manhattan Pl.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,42006,156,156,Yes,Mortgage Maturity/ Prepayment
Elmer Gardens (Elmer Partnership Limited),5711 Elmer Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42056,20,20,No,Restriction Expiration
323 N. Burlington (Filipino American Comm. Of La),323 N. Burlington Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42058,3,3,No,Restriction Expiration
Hancock Garden Apts.,303 S. Van Ness Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42063,66,66,Yes,Rental Subsidy Termination
Hancock Gardens,477 S. Fairfax,HUD Project-Based Section 8 Rental Assistance (PBRA),42063,66,66,Yes,Rental Subsidy Termination
Dorie Miller Manor,833 E. 120Th St.,HUD Project-Based Section 8 Rental Assistance (PBRA),42140,36,36,No,Rental Subsidy Termination
Bonita Ranch Apartments,14164 W. Foothill Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),42155,52,48,No,Rental Subsidy Termination
Cunningham Village,2300 S. Victoria Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42171,34,30,No,Rental Subsidy Termination
Virginia Banks Apartments,231 N. Mountain View Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42179,4,4,No,Restriction Expiration
Mary-Lind Foundation/1,4439 Burns Ave,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,99,99,No,Restriction Expiration
"Marvin Gardens (Aka Ccc/ Zetlen Co. , Project # 7)",2222 S. Marvin Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,12,12,No,Restriction Expiration
Mountainback I Apartments,11777 Foothill Blvd.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,124,25,Yes,Restriction Expiration
North Hollywood Park Apts,5043 Bakman Avenue,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,99,99,Yes,Restriction Expiration
Hollywood Fountain South,6222 W. Fountain Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,73,72,Yes,Restriction Expiration
Huncot Properties/3 (A.k.a. 10Th Ave Town Homes),6312 S. 10Th Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,5,5,No,Restriction Expiration
"Huncot Properties/2 (Aka 107Th St Townhomes, 107Th Street Apartments)",618 E. 107Th St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,5,5,No,Restriction Expiration
1953 La Salle Apts,1953 La Salle Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,8,8,No,Restriction Expiration
"Thompson,  John W. (Aka 80Th Street Arms)",9520 S. Western Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,6,6,No,Restriction Expiration
Larsen Apts (Larson Apartments),1237 S. Alvarado St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,43,43,No,Restriction Expiration
Ardmore Apartments (Aka 1035 S. Ardmore Apts),1035 S. Ardmore Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,10,10,No,Restriction Expiration
Louceil Apts (Modear Manor),2501 S. West View St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,37,3,No,Restriction Expiration
Clark Senior Apts. (Clark Terrace),1156 S. Clark Dr.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,41,40,Yes,Restriction Expiration
La Salle Place Apts,2011 S. La Salle Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,5,5,No,Restriction Expiration
Santana West,5211 E. Huntington Drive,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,6,6,No,Restriction Expiration
Magnolia Towers (North Hollywood Sr. Citizens ),11011 W. Magnolia Blvd.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,200,200,Yes,Restriction Expiration
Canyon Creek Apts.,18102 W. Devonshire Blvd.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,200,40,No,Restriction Expiration
Huncot Properties/1 (97Th St Townhomes),731 W. 97Th St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,5,5,No,Restriction Expiration
Alternative Living For Aging,122 S. Hayworth Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,14,14,Yes,Restriction Expiration
Normandie Villas,2633 S. Normandie Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,25,25,No,Restriction Expiration
"Juanita Apts (Juanita
H.a.c.l.a. 5-Plex)",624 N. Juanita Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,5,5,No,Restriction Expiration
"80Th Street Arms, Inc./2",2750 S. Kenwood Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,4,4,No,Restriction Expiration
Irolo Apartments (Leshnick/Pundyk),932 S. Irolo St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,32,32,No,Restriction Expiration
"Coronado H.a.c.l.a.
5-Plex (Coronado Villas)",1632 N. Coronado St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,5,5,No,Restriction Expiration
Denny Place,5620 N. Denny Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,24,24,No,Restriction Expiration
Denny & Harmony Apartments,5242 N. Denny Avenue,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,53,53,No,Restriction Expiration
Griffith Apartments,845 E. 28Th Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,18,18,No,Restriction Expiration
Project # 23 (Leroy Properties),949 S. Gramercy Pl.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,38,8,No,Restriction Expiration
"Dayaram, Pardip & Malti",1249 W. 6Th St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,32,32,No,Restriction Expiration
"80Th Street Arms, Inc./1",1535 W. 28Th St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,2,2,No,Restriction Expiration
El Greco Apartments,817 N. Hayworth Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,12,3,Yes,Restriction Expiration
Spring Gardens Apts. (A.k.a. Project #29),200 W. 108Th St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,22,11,No,Restriction Expiration
Project 64 Project 64 (Aka C-A Huntington Drive Partners),5311 E. Huntington Drive North,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,40,12,No,Restriction Expiration
“Valley Shelter (Aka Fiesta Motel Or Norman,,,,,,,
"Valley Shelter, Fiesta Motel, Norman Trudy”",7843 Lankershim Blvd.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,259,259,No,Restriction Expiration
Florence Hotel,310 E. 5Th Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,60,60,No,Restriction Expiration
Chelsey Court,4040 S. Hoover St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,24,24,No,Restriction Expiration
Budlong Manor,11998 Terra Bella St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,60,60,Yes,Restriction Expiration
Columbia Plaza Apts,369 S. Columbia Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,139,28,No,Restriction Expiration
Bristol Hotel,423 W. 8Th Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,102,102,No,Restriction Expiration
Arleta Senior Citizen Apts.,14060 W. Van Nuys Blvd.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,32,31,Yes,Restriction Expiration
City Of L.a. (G L C S C Youth),736 S. Cloverdale Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,6,6,No,Restriction Expiration
"6419 10Th Avenue (Gibralter Proj.
Minority Contr.)",6419 S. 10Th Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42180,27,27,No,Restriction Expiration
