Name Of Project,Address,City,State,Primary Funding Source/ Assistance Type Description,Primary Expiration Date,Total Units,Restricted/ Assisted Units,Target Group (Senior),Type of Conversion Risk
Union Place,1047 S. Bonnie Brae St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/17,16,16,No,Restriction Expiration
967 N. Hill St Apts,967 N. Hill St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/17,5,5,No,Restriction Expiration
1741 Westmoreland Blvd,1741 S. Westmoreland Blvd.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/17,22,22,No,Restriction Expiration
1932 City View Ave,1932 E. City View Ave.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/17,2,1,No,Restriction Expiration
1532 S. Wilton Place,1532 S. Wilton Pl.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/17,14,14,No,Restriction Expiration
Green Houses,1053 S. Bonnie Brae St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/14/17,9,9,No,Restriction Expiration
"3075-3083 E 6Th Street
- Perez, Rodolfo/Blanca",3075 E 6Th Street,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Neighborhood Preservation Program (NPP),1/16/17,5,5,No,Restriction Expiration
3101 Sawtelle Blvd.,3101 S. Sawtelle Blvd.,Los Angeles,CA,City of Los Angeles Land Use Restrictions,1/22/17,204,10,No,Restriction Expiration
Victory Outreach Trans. Hs.,1801S Toberman St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/30/17,14,14,No,Restriction Expiration
Woodland Terrace (A.k.a. Woodman Nordhoff Apts),"9133 Woodman Avenue, 14201 W Nordhoff St",Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),1/31/17,100,65,No,Rental Subsidy Termination
Parthenia Manor,14906 Parthenia St,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),2/28/17,88,88,Yes,Rental Subsidy Termination
Park Western Estates,1301 Park Western Drive,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),3/15/17,216,216,No,Rental Subsidy Termination
Pledgerville Senior Citizens V,11060 Norris Ave.,Los Angeles,CA,HUD Section 202/811 Non-profit Elderly and Handicapped Mortgage Program,1/04/17,94,93,Yes,Mortgage Maturity/ Prepayment
Pilgrim Tower,1207 S. Vermont Ave.,Los Angeles,CA,HUD Section 202 Supportive Housing for the Elderly,1/04/17,111,97,Yes,Mortgage Maturity/ Prepayment
Village Way,20661 W. Lemarsh St.,Los Angeles,CA,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),4/30/17,12,12,Yes,Rental Subsidy Termination
Figueroa Gardens,4550 N. Figueroa St.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),5/31/17,88,88,No,Rental Subsidy Termination
Casa Serena,5017 E. Axtell St.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),5/31/17,29,29,Yes,Rental Subsidy Termination
St Nicholas Hsg Proj,10220 Aqueduct Ave.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),5/31/17,36,36,Yes,Rental Subsidy Termination
Glenoaks Townhomes,14300 W. Foothill Blvd.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),6/19/17,48,48,No,Rental Subsidy Termination
111 W. Macy Apts,111 W. Cesar E. Chavez Ave.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),6/23/17,18,18,No,Restriction Expiration
Miramar Manor 2/2,1430 Miramar St.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),6/30/17,24,24,No,Rental Subsidy Termination
Miramar Manor 1/2,1422 Miramar St.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),6/30/17,25,25,No,Rental Subsidy Termination
80Th Street Apts,710 W. 80Th St.,Los Angeles,CA,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,1/07/17,16,16,No,Mortgage Maturity/ Prepayment
Casa Central,1100 E. 32Nd St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),7/07/17,6,6,No,Restriction Expiration
Headway House,8500 N. Shirley Ave.,Los Angeles,CA,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),7/31/17,5,3,Yes,Rental Subsidy Termination
Jewish Family Service,827 S. Gramercy Place,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/08/17,35,35,No,Restriction Expiration
"Homing, Inc.",7816 Crenshaw Blvd,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),12/08/17,3,3,No,Restriction Expiration
S. Norton Avenue,1121 S. Norton Ave.,Los Angeles,CA,California Low-Income Housing Tax Credit Program (LIHTC),12/31/17,20,20,No,Restriction Expiration
St. Vincent De Paul Society,231 Winston Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/18,70,70,No,Restriction Expiration
"Arminta North/South#1
- 1 Loan/2 Parcels",11051 Arminta Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/18,20,12,No,Restriction Expiration
Maehara Oregon Bldg. & Hotel,220 E. 1St Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/18,22,12,No,Restriction Expiration
Villa Ramos I & Ii (Bonnie Brae Apts.),417 N. Bonnie Brae St.,Los Angeles,CA,California Housing and Community Development Multifamily Housing Programs (HCD),5/01/18,44,44,No,Restriction Expiration
244 East Colden Avenue,244 East Colden Avenue,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),1/21/18,4,4,No,Restriction Expiration
Watts Arms I,"1720 E. Century Blvd.
/ 10130 S. Beach",Los Angeles,CA,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,1/02/18,104,104,No,Mortgage Maturity/ Prepayment
319 North Fickett Street,319 North Fickett Street,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),5/02/18,3,3,No,Restriction Expiration
4248 Halldale Avenue,4248 Halldale Avenue,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),3/20/18,4,4,No,Restriction Expiration
4424 Stanford Avenue,4424 Stanford Avenue,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),3/21/18,4,4,No,Restriction Expiration
10914 Avalon Boulevard,10914 Avalon Boulevard,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),3/27/18,4,4,No,Restriction Expiration
Grand View Apartments,426 S. Grandview Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),3/31/18,27,27,No,Restriction Expiration
New Hope Ctyrd Los Angeles,4752 E. Huntington Dr.,Los Angeles,CA,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),4/30/18,15,14,Yes,Rental Subsidy Termination
Progressive Home For The Elderly,7010 S. Denver Ave.,Los Angeles,CA,HUD Section 202 Supportive Housing for the Elderly,1/05/18,141,111,Yes,Mortgage Maturity/ Prepayment
Charles Lockhart,8325 South Avalon Boulevard,Los Angeles,CA,California Housing and Community Development Multifamily Housing Programs (HCD),11/05/18,10,10,No,Restriction Expiration
Dunbar Hotel,4225 S. Central Ave.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),5/19/18,73,73,Yes,Restriction Expiration
227 East 78Th Street,227 East 78Th Street,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),2/06/18,3,3,No,Restriction Expiration
Arminta Square,11050 W. Arminta St.,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Earthquake (EQ),4/06/18,46,46,No,Restriction Expiration
1605 West Vernon Avenue,1605 West Vernon Avenue,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),12/06/18,4,4,No,Restriction Expiration
621 North Cummings Street,621 North Cummings Street,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),12/06/18,4,4,No,Restriction Expiration
Gay & Lesbian Comm. Group Home,1816 N. Wilton,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),6/27/18,6,6,No,Restriction Expiration
New Vision,7927 Lindley Ave,Los Angeles,CA,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),6/30/18,12,12,Yes,Rental Subsidy Termination
Golden West Hotel,417 E. 5Th Street,Los Angeles,CA,California Housing and Community Development Multifamily Housing Programs (HCD),7/14/18,61,61,No,Restriction Expiration
Ward Hotel (Part Ii),512 S. Wall Street (Scattered),Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),7/18/18,35,35,No,Restriction Expiration
2407 East 1St Street,2407 East 1St Street,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),6/08/18,5,5,No,Restriction Expiration
438 South Evergreen Street,438 South Evergreen Street,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),6/08/18,4,4,No,Restriction Expiration
Villa Nueva,1722 S. Toberman St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),10/08/18,20,20,No,Restriction Expiration
Genesis Hotel (Pennsylvania),452 S. Main St.,Los Angeles,CA,California Housing and Community Development Multifamily Housing Programs (HCD),11/08/18,33,29,No,Restriction Expiration
Breed Street Residence (L.a. Family Housing Corp),207 N. Breed St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),8/22/18,20,20,No,Restriction Expiration
151 East 62Nd Street,151 East 62Nd Street,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),11/09/18,3,3,No,Restriction Expiration
Casa Panorama Tower,14555 W. Osborne St.,Los Angeles,CA,California Housing Finance Agency Multifamily Housing Programs (CalHFA),9/18/18,153,153,Yes,Restriction Expiration
Children’s Shelter,252 S. Rampart Blvd.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),9/22/18,12,6,No,Restriction Expiration
Garden Villas,5530 Klump Avenue,Los Angeles,CA,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),9/30/18,25,24,Yes,Rental Subsidy Termination
Portal Community Connection,3881 S Western Ave,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),10/25/18,14,14,No,Restriction Expiration
Madison Sr,1145 N. Madison Ave,Los Angeles,CA,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),10/31/18,70,69,Yes,Rental Subsidy Termination
Henderson Apartments,1703 W. 24Th St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),12/18/18,8,8,No,Restriction Expiration
"Arminta North/South#2
- 1 Loan/2 Parcels",11038 Arminta Street (+11551),Los Angeles,CA,California Low-Income Housing Tax Credit Program (LIHTC),12/31/18,40,12,No,Restriction Expiration
Virginia Avenue Apts,5623 W. Virginia Ave.,Los Angeles,CA,California Low-Income Housing Tax Credit Program (LIHTC),12/31/18,28,20,No,Restriction Expiration
Midcities,835 S. Oxford Ave.,Los Angeles,CA,California Low-Income Housing Tax Credit Program (LIHTC),12/31/18,59,59,No,Restriction Expiration
Pico Union Ii Scatteresd Sites (Nuevo Pico  Union Apartments),"1032 Beacon,1655-1659
11Th Pl,1335-1139 17Th
St, 1349 Westlake",Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/19,16,16,No,Restriction Expiration
Wilshire Christian Manor,616 S. Normandie Ave.,Los Angeles,CA,HUD Section 202 Supportive Housing for the Elderly,1/01/19,288,117,Yes,Mortgage Maturity/ Prepayment
515 W. 90Th Apts,515 W. 90Th St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/19,8,8,No,Restriction Expiration
La Jolla Hotel,721 E. 6Th Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/20/19,53,53,No,Restriction Expiration
La Jolla Hotel (Part Ii),721 E. 6Th Street (Scattered),Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/20/19,35,35,No,Restriction Expiration
Sunshine Mission,2600 S. Hoover,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/27/19,73,73,No,Restriction Expiration
Casa De Rosas,2600 South Hoover Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/27/19,71,55,No,Restriction Expiration
Casa Familia Iii,730 E. Adams Street ( 726 E. Adams St),Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/02/19,8,8,No,Restriction Expiration
Buena Vista,1423 N. Broadway,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),2/02/19,20,20,No,Restriction Expiration
Sunflower 87Th Street,138 E. 87Th St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),2/02/19,10,10,No,Restriction Expiration
Pico Union Villa,1200 S. Union Ave.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),2/21/19,115,115,Yes,Restriction Expiration
Strathern Park Apts,11111 W. Strathern St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),3/31/19,170,169,No,Restriction Expiration
"Terminal Hotel/ Ro,Chae & Chin",1331 E. 7Th Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),10/04/19,66,66,No,Restriction Expiration
Ward Hotel,512 S. Wall St.,Los Angeles,CA,California Housing and Community Development Multifamily Housing Programs (HCD),5/06/19,75,75,No,Restriction Expiration
Gay & Lesbian Adolescent,1808 S. St. Andrews Place,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),6/27/19,6,6,No,Restriction Expiration
Roscoe Park Apartments,21023 W. Roscoe Blvd.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),7/31/19,82,82,No,Rental Subsidy Termination
Reseda East,18450 W. Ingomar St.,Los Angeles,CA,California Housing Finance Agency Multifamily Housing Programs (CalHFA),8/08/19,70,70,Yes,Restriction Expiration
Reseda Manor,7725 N. Reseda Blvd.,Los Angeles,CA,California Housing Finance Agency Multifamily Housing Programs (CalHFA),12/09/19,40,40,Yes,Restriction Expiration
"Beyond Shelter (1455
E. 23Rd St Apts)",1455 E. 23Rd St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),10/17/19,2,2,No,Restriction Expiration
Buchanan Street House (Group Home),4902 Buchanan Street,Los Angeles,CA,California Housing and Community Development Multifamily Housing Programs (HCD),12/13/19,5,5,No,Restriction Expiration
